date,time,secSince1970,decisionPoint,questionId,userAction,combinedReward,detailedReward,combinedAdvantage,detailedAdvantage,combinedSaliency,detailedSaliency,
tutorial.scr,9-20-2018,10:42:54:9,1537465374009,undefined,undefined,stepIntoDecisionPoint:1,false,false,false,false,false,false
tutorial.scr,9-20-2018,10:42:54:11,1537465374011,1,undefined,showQuestion:1.0,false,false,false,false,false,false
tutorial.scr,9-20-2018,10:42:54:30,1537465374030,1,1.0,region:waitScreen;target:enter-welcome-screen;waitForResearcherStart:yes,false,false,false,false,false,false
tutorial.scr,9-20-2018,10:43:16:250,1537465396250,1,1.0,region:waitScreen;target:user-wait-button-continue;waitForResearcherEnd:yes,false,false,false,false,false,false
tutorial.scr,9-20-2018,10:43:16:710,1537465396710,1,1.0,stepIntoDecisionPoint:1,false,false,false,false,false,false
tutorial.scr,9-20-2018,10:43:16:997,1537465396997,1,1.0,hideEntityTooltips:all,false,false,false,false,false,false
tutorial.scr,9-20-2018,10:43:18:639,1537465398639,1,1.0,userClick:437_341;region:gameArea;target:pauseResumeButton;play:NA,false,false,false,false,false,false
tutorial.scr,9-20-2018,10:43:19:811,1537465399811,1,1.0,region:saliencyMap;target:saliencyMap--DP1-2_EnemyDestroyed--Size;startMouseOverSaliencyMap:Size,false,false,false,false,false,false
tutorial.scr,9-20-2018,10:43:20:78,1537465400078,1,1.0,userClick:820_804;region:saliencyMap;target:saliencyMap--DP1-2_EnemyDestroyed--Size;clickSaliencyMap:Size_(NA_upperRightQuadrant),false,false,false,false,false,false
tutorial.scr,9-20-2018,10:43:20:104,1537465400104,1,1.0,region:saliencyMap;target:saliencyMap--DP1-2_EnemyDestroyed--Size;endMouseOverSaliencyMap:Size,false,false,false,false,false,false
tutorial.scr,9-20-2018,10:43:20:204,1537465400204,1,1.0,region:saliencyMap;target:saliencyMap--DP1-2_EnemyDestroyed--Tank;startMouseOverSaliencyMap:Tank,false,false,false,false,false,false
tutorial.scr,9-20-2018,10:43:20:371,1537465400371,1,1.0,region:saliencyMap;target:saliencyMap--DP1-2_EnemyDestroyed--Tank;endMouseOverSaliencyMap:Tank,false,false,false,false,false,false
tutorial.scr,9-20-2018,10:43:20:371,1537465400371,1,1.0,region:saliencyMap;target:saliencyMap--DP1-2_EnemyDestroyed--HP;startMouseOverSaliencyMap:HP,false,false,false,false,false,false
tutorial.scr,9-20-2018,10:43:20:567,1537465400567,1,1.0,userClick:394_747;region:saliencyMap;target:saliencyMap--DP1-2_EnemyDestroyed--HP;clickSaliencyMap:HP_(NA_upperRightQuadrant),false,false,false,false,false,false
tutorial.scr,9-20-2018,10:43:20:572,1537465400572,1,1.0,region:saliencyMap;target:saliencyMap--DP1-2_EnemyDestroyed--HP;endMouseOverSaliencyMap:HP,false,false,false,false,false,false
tutorial.scr,9-20-2018,10:43:21:43,1537465401043,1,1.0,userClick:361_588;region:QnA;NA;NA,false,false,false,false,false,false
tutorial.scr,9-20-2018,10:43:21:835,1537465401835,1,1.0,showQuestion:1.1,false,false,false,false,false,false
tutorial.scr,9-20-2018,10:43:21:845,1537465401845,1,1.1,userClick:320_637;region:QnA;target:button-save;answerQuestion:1.0_"asdfasdf"_NA_(tutorial.scr,9-20-2018,10:43:20:567,1537465400567,1,1.0,userClick:394_747;region:saliencyMap;target:saliencyMap--DP1-2_EnemyDestroyed--HP;clickSaliencyMap:HP_(NA_upperRightQuadrant),false,false,false,false,false,false),false,false,false,false,false,false
tutorial.scr,9-20-2018,10:43:22:436,1537465402436,1,1.1,userClick:320_597;region:QnA;NA;NA,false,false,false,false,false,false
tutorial.scr,9-20-2018,10:43:23:632,1537465403632,1,1.1,userClick:724_214;region:scaii-interface;target:rewardBar;selectedRewardBar:Attack Q1.Enemy Destroyed,false,false,false,false,false,false
tutorial.scr,9-20-2018,10:43:25:3,1537465405003,1,1.1,showQuestion:1.2,false,false,false,false,false,false
tutorial.scr,9-20-2018,10:43:25:8,1537465405008,1,1.2,userClick:321_703;region:QnA;target:button-save;answerQuestion:1.1_"asdf"_NA_(tutorial.scr,9-20-2018,10:43:23:632,1537465403632,1,1.1,userClick:724_214;region:scaii-interface;target:rewardBar;selectedRewardBar:Attack Q1.Enemy Destroyed,false,false,false,false,false,false),false,false,false,false,false,false
tutorial.scr,9-20-2018,10:43:25:725,1537465405725,1,1.2,hideEntityTooltips:all,false,false,false,false,false,false
tutorial.scr,9-20-2018,10:43:26:109,1537465406109,1,1.2,showEntityTooltip:friendly-Big Fort_upperLeftQuadrant,false,false,false,false,false,false
tutorial.scr,9-20-2018,10:43:26:376,1537465406377,1,1.2,hideEntityTooltips:all,false,false,false,false,false,false
tutorial.scr,9-20-2018,10:43:27:162,1537465407162,1,1.2,userClick:214_411;region:gameArea;target:expl-control-canvas;timelineClick:64,false,false,false,false,false,false
tutorial.scr,9-20-2018,10:43:28:74,1537465408074,1,1.2,userClick:421_352;region:gameArea;target:pauseResumeButton;play:NA,false,false,false,false,false,false
tutorial.scr,9-20-2018,10:43:28:777,1537465408777,1,1.2,userClick:267_639;region:QnA;NA;NA,false,false,false,false,false,false
tutorial.scr,9-20-2018,10:43:28:952,1537465408952,1,1.2,hideEntityTooltips:all,false,false,false,false,false,false
tutorial.scr,9-20-2018,10:43:29:293,1537465409293,1,1.2,showEntityTooltip:friendly-Big Fort_upperLeftQuadrant,false,false,false,false,false,false
tutorial.scr,9-20-2018,10:43:29:395,1537465409395,1,1.2,hideEntityTooltips:all,false,false,false,false,false,false
tutorial.scr,9-20-2018,10:43:29:574,1537465409574,1,1.2,showEntityTooltip:friendly-Big Fort_upperLeftQuadrant,false,false,false,false,false,false
tutorial.scr,9-20-2018,10:43:29:775,1537465409775,1,1.2,userClick:395_150;region:gameArea;target:gameboard;clickEntity:friendly-Big Fort_upperLeftQuadrant_80_88,false,false,false,false,false,false
tutorial.scr,9-20-2018,10:43:29:882,1537465409882,1,1.2,showEntityTooltip:friendly-Big Fort_upperLeftQuadrant,false,false,false,false,false,false
tutorial.scr,9-20-2018,10:43:29:928,1537465409928,1,1.2,hideEntityTooltips:all,false,false,false,false,false,false
tutorial.scr,9-20-2018,10:43:29:944,1537465409944,1,1.2,showEntityTooltip:friendly-City_lowerLeftQuadrant,false,false,false,false,false,false
tutorial.scr,9-20-2018,10:43:30:874,1537465410874,1,1.2,userClick:317_698;region:QnA;target:button-save;answerQuestion:1.2_"asdf"_NA_(tutorial.scr,9-20-2018,10:43:29:775,1537465409775,1,1.2,userClick:395_150;region:gameArea;target:gameboard;clickEntity:friendly-Big Fort_upperLeftQuadrant_80_88,false,false,false,false,false,false),false,false,false,false,false,false
tutorial.scr,9-20-2018,10:43:30:880,1537465410880,1,1.2,region:saliencyMap;target:saliencyMap--DP1-2_EnemyDestroyed--HP;startMouseOverSaliencyMap:HP,false,false,false,false,false,false
tutorial.scr,9-20-2018,10:43:31:390,1537465411390,1,1.2,showQuestion:75.0,false,false,false,false,false,false
tutorial.scr,9-20-2018,10:43:31:394,1537465411394,1,75.0,region:waitScreen;target:enter-wait-screen;waitForResearcherStart:yes,false,false,false,false,false,false
tutorial.scr,9-20-2018,10:43:32:121,1537465412122,1,75.0,stepIntoDecisionPoint:75,false,false,false,false,false,false
tutorial.scr,9-20-2018,10:43:33:267,1537465413267,75,75.0,region:waitScreen;target:user-wait-button-continue;waitForResearcherEnd:yes,false,false,false,false,false,false
tutorial.scr,9-20-2018,10:43:34:234,1537465414234,75,75.0,userClick:341_407;region:gameArea;target:expl-control-canvas;timelineClick:111,false,false,false,false,false,false
tutorial.scr,9-20-2018,10:43:34:656,1537465414656,75,75.0,userClick:356_594;region:QnA;NA;NA,false,false,false,false,false,false
tutorial.scr,9-20-2018,10:43:35:228,1537465415228,75,75.0,showQuestion:75.1,false,false,false,false,false,false
tutorial.scr,9-20-2018,10:43:35:234,1537465415234,75,75.1,userClick:313_654;region:QnA;target:button-save;answerQuestion:75.0_"asdfasdf"_NA_(NA),false,false,false,false,false,false
tutorial.scr,9-20-2018,10:43:36:130,1537465416130,75,75.1,userClick:444_344;region:gameArea;target:pauseResumeButton;play:NA,false,false,false,false,false,false
tutorial.scr,9-20-2018,10:43:36:310,1537465416310,75,75.1,hideEntityTooltips:all,false,false,false,false,false,false
tutorial.scr,9-20-2018,10:43:36:455,1537465416455,75,75.1,showEntityTooltip:enemy-Big Fort_lowerRightQuadrant,false,false,false,false,false,false
tutorial.scr,9-20-2018,10:43:36:599,1537465416599,75,75.1,userClick:503_275;region:gameArea;target:gameboard;clickEntity:enemy-Big Fort_lowerRightQuadrant_188_213,false,false,false,false,false,false
tutorial.scr,9-20-2018,10:43:36:788,1537465416788,75,75.1,hideEntityTooltips:all,false,false,false,false,false,false
tutorial.scr,9-20-2018,10:43:37:327,1537465417327,75,75.1,userClick:365_646;region:QnA;NA;NA,false,false,false,false,false,false
tutorial.scr,9-20-2018,10:43:37:918,1537465417918,75,75.1,showQuestion:75.2,false,false,false,false,false,false
tutorial.scr,9-20-2018,10:43:37:927,1537465417927,75,75.2,userClick:317_698;region:QnA;target:button-save;answerQuestion:75.1_"asdfas"_NA_(tutorial.scr,9-20-2018,10:43:36:599,1537465416599,75,75.1,userClick:503_275;region:gameArea;target:gameboard;clickEntity:enemy-Big Fort_lowerRightQuadrant_188_213,false,false,false,false,false,false),false,false,false,false,false,false
tutorial.scr,9-20-2018,10:43:38:431,1537465418431,75,75.2,userClick:363_597;region:QnA;NA;NA,false,false,false,false,false,false
tutorial.scr,9-20-2018,10:43:38:985,1537465418985,75,75.2,userClick:316_651;region:QnA;target:button-save;answerQuestion:75.2_"asdfasd"_NA_(NA),false,false,false,false,false,false
tutorial.scr,9-20-2018,10:43:40:309,1537465420309,75,75.2,showQuestion:124.0,false,false,false,false,false,false
tutorial.scr,9-20-2018,10:43:40:313,1537465420313,75,124.0,region:waitScreen;target:enter-wait-screen;waitForResearcherStart:yes,false,false,false,false,false,false
tutorial.scr,9-20-2018,10:43:40:855,1537465420855,75,124.0,stepIntoDecisionPoint:124,false,false,false,false,false,false
tutorial.scr,9-20-2018,10:43:42:746,1537465422746,124,124.0,region:waitScreen;target:user-wait-button-continue;waitForResearcherEnd:yes,false,false,false,false,false,false
tutorial.scr,9-20-2018,10:43:48:906,1537465428906,124,124.0,userClick:302_602;region:QnA;NA;NA,false,false,false,false,false,false
tutorial.scr,9-20-2018,10:43:52:693,1537465432693,124,124.0,showQuestion:124.1,false,false,false,false,false,false
tutorial.scr,9-20-2018,10:43:52:701,1537465432701,124,124.1,userClick:314_659;region:QnA;target:button-save;answerQuestion:124.0_"asdfasd asdf"_NA_(NA),false,false,false,false,false,false
tutorial.scr,9-20-2018,10:43:53:644,1537465433644,124,124.1,userClick:379_599;region:QnA;NA;NA,false,false,false,false,false,false
tutorial.scr,9-20-2018,10:43:54:172,1537465434172,124,124.1,userClick:328_645;region:QnA;target:button-save;answerQuestion:124.1_"asdf"_NA_(NA),false,false,false,false,false,false
tutorial.scr,9-20-2018,10:43:54:982,1537465434982,124,124.1,userClick:433_326;region:gameArea;target:pauseResumeButton;play:NA,false,false,false,false,false,false
tutorial.scr,9-20-2018,10:43:55:854,1537465435854,124,124.1,userClick:538_414;region:gameArea;target:expl-control-canvas;timelineClick:184,false,false,false,false,false,false
tutorial.scr,9-20-2018,10:43:56:667,1537465436667,124,124.1,userClick:446_343;region:gameArea;target:pauseResumeButton;play:NA,false,false,false,false,false,false
tutorial.scr,9-20-2018,10:43:59:665,1537465439665,124,124.1,showQuestion:summary.0,false,false,false,false,false,false
tutorial.scr,9-20-2018,10:44:0:555,1537465440555,124,summary.0,userClick:423_607;region:QnA;NA;NA,false,false,false,false,false,false
tutorial.scr,9-20-2018,10:44:1:759,1537465441759,124,summary.0,region:waitScreen;target:enter-wait-screen;waitForResearcherStart:yes,false,false,false,false,false,false
tutorial.scr,9-20-2018,10:44:1:761,1537465441761,124,summary.0,userClick:323_662;region:QnA;target:button-save;answerQuestion:summary.0_"asdf"_NA_(NA),false,false,false,false,false,false
tutorial.scr,9-20-2018,10:44:3:502,1537465443502,124,summary.0,region:waitScreen;target:user-wait-button-continue;waitForResearcherEnd:yes,false,false,false,false,false,false
task1.scr,9-20-2018,10:44:7:945,1537465447945,124,summary.0,stepIntoDecisionPoint:1,false,false,false,false,false,false
task1.scr,9-20-2018,10:44:7:947,1537465447947,1,summary.0,showQuestion:1.0,false,false,false,false,false,false
task1.scr,9-20-2018,10:44:8:766,1537465448766,1,1.0,hideEntityTooltips:all,false,false,false,false,false,false
task1.scr,9-20-2018,10:44:8:800,1537465448800,1,1.0,showEntityTooltip:enemy-Small Fort_lowerLeftQuadrant,false,false,false,false,false,false
task1.scr,9-20-2018,10:44:8:831,1537465448831,1,1.0,hideEntityTooltips:all,false,false,false,false,false,false
task1.scr,9-20-2018,10:44:9:83,1537465449083,1,1.0,showEntityTooltip:enemy-Big Fort_upperLeftQuadrant,false,false,false,false,false,false
task1.scr,9-20-2018,10:44:9:340,1537465449340,1,1.0,userClick:395_150;region:gameArea;target:gameboard;clickEntity:enemy-Big Fort_upperLeftQuadrant_80_88,false,false,false,false,false,false
task1.scr,9-20-2018,10:44:9:491,1537465449491,1,1.0,showEntityTooltip:enemy-Big Fort_upperLeftQuadrant,false,false,false,false,false,false
task1.scr,9-20-2018,10:44:9:529,1537465449529,1,1.0,hideEntityTooltips:all,false,false,false,false,false,false
task1.scr,9-20-2018,10:44:10:96,1537465450096,1,1.0,userClick:332_671;region:QnA;NA;NA,false,false,false,false,false,false
task1.scr,9-20-2018,10:44:10:923,1537465450923,1,1.0,showQuestion:1.1,false,false,false,false,false,false
task1.scr,9-20-2018,10:44:10:931,1537465450931,1,1.1,userClick:313_728;region:QnA;target:button-save;answerQuestion:1.0_"asdf"_NA_(task1.scr,9-20-2018,10:44:9:340,1537465449340,1,1.0,userClick:395_150;region:gameArea;target:gameboard;clickEntity:enemy-Big Fort_upperLeftQuadrant_80_88,false,false,false,false,false,false),false,false,false,false,false,false
task1.scr,9-20-2018,10:44:12:941,1537465452941,1,1.1,userClick:696_355;region:scaii-interface;target:rewardBar;selectedRewardBar:Attack Q1.City Destroyed,false,false,false,false,false,false
task1.scr,9-20-2018,10:44:13:536,1537465453536,1,1.1,userClick:443_675;region:QnA;NA;NA,false,false,false,false,false,false
task1.scr,9-20-2018,10:44:14:137,1537465454137,1,1.1,showQuestion:1.2,false,false,false,false,false,false
task1.scr,9-20-2018,10:44:14:148,1537465454148,1,1.2,userClick:336_733;region:QnA;target:button-save;answerQuestion:1.1_"asdf"_NA_(task1.scr,9-20-2018,10:44:12:941,1537465452941,1,1.1,userClick:696_355;region:scaii-interface;target:rewardBar;selectedRewardBar:Attack Q1.City Destroyed,false,false,false,false,false,false),false,false,false,false,false,false
task1.scr,9-20-2018,10:44:14:780,1537465454780,1,1.2,userClick:344_666;region:QnA;NA;NA,false,false,false,false,false,false
task1.scr,9-20-2018,10:44:15:930,1537465455930,1,1.2,userClick:338_757;region:QnA;NA;NA,false,false,false,false,false,false
